"","dates","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SNOWMELT","POOLDEP","PCTWET","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"8761",2009-01-01 00:00:00,1,0,13.1564426422119,13.326171875,57.4360084533691,56.8028793334961,1.14862740039825,3.06315016746521,0,0,0.185125276446342,90,0,-6.260498046875,0,0,0,0
"8762",2009-01-01 01:00:00,1,60,13.0558061599731,13.2775001525879,62.4134368896484,61.5159797668457,0.975214421749115,2.60069370269775,0,0,0,90,0,-5.55276489257812,0,0,0,0
"8763",2009-01-01 02:00:00,1,120,12.82692527771,13.2288284301758,67.9931716918945,66.2290802001953,0.801801443099976,2.1382372379303,0,0,0,90,0,-4.90283203125,0,0,0,0
"8764",2009-01-01 03:00:00,1,180,12.9237041473389,13.1801567077637,72.1419067382812,70.9421768188477,0.426086068153381,1.13628268241882,0,0,0,90,0,-4.31085205078125,0,0,0,0
"8765",2009-01-01 04:00:00,1,240,12.8788003921509,13.1314849853516,78.4774551391602,77.1908187866211,0.348464071750641,0.929281115531921,0,0,0,90,0.00280151073820889,-3.56964111328125,0,0,0,0
"8766",2009-01-01 05:00:00,1,300,12.9138221740723,13.19091796875,78.6023406982422,77.1908187866211,0.493344008922577,1.31564545631409,0,0,0,88.4505767822266,16.4206161499023,-3.49102783203125,0,0,0,0
"8767",2009-01-01 06:00:00,1,360,16.056661605835,13.937255859375,64.663330078125,74.1203384399414,0.638223767280579,1.70200979709625,0,0,1.95810234546661,77.3907928466797,193.977264404297,-2.71356201171875,0,0,0,0
"8768",2009-01-01 07:00:00,1,420,20.0484981536865,15.3565063476562,50.2168655395508,67.5062408447266,0.78310352563858,2.08837413787842,0,0,0.997642695903778,65.417594909668,417.346527099609,-1.41879272460938,0,0,0,0
"8769",2009-01-01 08:00:00,1,480,24.1972827911377,17.2554931640625,39.7045707702637,60.892147064209,0.927983582019806,2.47473835945129,0,0,0.694575428962708,53.1136322021484,637.311401367188,0.501800537109375,0,0,0,0
"8770",2009-01-01 09:00:00,1,540,27.8694972991943,19.3755493164062,32.5355796813965,54.2780494689941,1.07286334037781,2.86110281944275,0,0,0.481585174798965,40.6739730834961,838.609985351562,2.62615966796875,0,0,0,0
"8771",2009-01-01 10:00:00,1,600,30.822925567627,21.427978515625,27.3512668609619,47.6639556884766,1.21774327754974,3.24746704101562,0,0,0.35313156247139,28.3791007995605,983.058288574219,4.48464965820312,0,0,0,0
"8772",2009-01-01 11:00:00,1,660,32.7979164123535,23.1332397460938,19.6019954681396,34.4357604980469,1.3626229763031,3.6338312625885,0,0,0.306640267372131,17.0338592529297,1074.75378417969,3.95089721679688,0,0,0,0
"8773",2009-01-01 12:00:00,1,720,33.0868492126465,24.259033203125,20.6390285491943,34.4357604980469,1.65238261222839,4.40655994415283,0,0,0.241720095276833,10.8389234542847,1107.27551269531,5.62030029296875,0,0,0,0
"8774",2009-01-01 13:00:00,1,780,33.3081893920898,24.6521606445312,21.9496059417725,36.2172203063965,1.65238261222839,4.40655994415283,0,0,0.220608532428741,17.0338592529297,1075.32421875,6.68463134765625,0,0,0,0
"8775",2009-01-01 14:00:00,1,840,32.6212425231934,24.259033203125,23.3781414031982,37.9986839294434,1.59664189815521,4.25791072845459,0,0,0.221199214458466,28.3791007995605,980.239013671875,6.55853271484375,0,0,0,0
"8776",2009-01-01 15:00:00,1,900,30.531192779541,23.1332397460938,25.7491436004639,39.780143737793,1.54090118408203,4.10926198959351,0,0,0.249015718698502,40.6739730834961,835.009460449219,5.31735229492188,0,0,0,0
"8777",2009-01-01 16:00:00,1,960,27.4189929962158,21.427978515625,29.033353805542,41.5616035461426,1.48516047000885,3.96061301231384,0,0,0.30236291885376,53.1136322021484,633.670288085938,3.18692016601562,0,0,0,0
"8778",2009-01-01 17:00:00,1,1020,23.6861095428467,19.3755493164062,33.2904472351074,43.3430633544922,1.42941963672638,3.8119637966156,0,0,0.378543138504028,65.417594909668,414.371795654297,0.51336669921875,0,0,0,0
"8779",2009-01-01 18:00:00,1,1080,19.6364860534668,17.2554931640625,38.8674964904785,45.1245269775391,1.3736789226532,3.66331505775452,0,0,0.449567764997482,77.3907928466797,192.321334838867,-2.28466796875,0,0,0,0
"8780",2009-01-01 19:00:00,1,1140,15.9486322402954,15.3565063476562,45.1597137451172,46.9059867858887,1.31793797016144,3.51466608047485,0,0,0.319026708602905,88.4505767822266,16.2573852539062,-4.77328491210938,0,0,0,0
"8781",2009-01-01 20:00:00,1,1200,13.2622680664062,13.259765625,48.6794624328613,48.6874465942383,1.26219737529755,3.36601686477661,0,0,0.143630653619766,90,0.0027783231344074,-7.57797241210938,0,0,0,0
"8782",2009-01-01 21:00:00,1,1260,11.801962852478,11.6948547363281,50.1129493713379,50.4689102172852,1.20645654201508,3.21736812591553,0,0,0.25098979473114,90,0,-9.60357666015625,0,0,0,0
"8783",2009-01-01 22:00:00,1,1320,10.6264877319336,10.5548095703125,52.0012016296387,52.2503700256348,1.1507157087326,3.06871914863586,0,0,0.119909152388573,90,0,-11.0073852539062,0,0,0,0
"8784",2009-01-01 23:00:00,1,1380,9.70442676544189,9.7242431640625,54.1037902832031,54.0318298339844,1.094975233078,2.92007040977478,0,0,0,90,0,-11.9599914550781,0,0,0,0
"8785",2009-01-02 00:00:00,2,0,9.07155895233154,9.119140625,55.9927291870117,55.8132934570312,1.03923439979553,2.77142119407654,0,0,0.241664707660675,90,0,-12.5855407714844,0,0,0,0
"8786",2009-01-02 01:00:00,2,60,8.65231704711914,8.76136779785156,62.2973098754883,61.839038848877,0.893314480781555,2.38228321075439,0,0,0,90,0,-12.1897583007812,0,0,0,0
"8787",2009-01-02 02:00:00,2,120,8.37386608123779,8.40359401702881,68.0018615722656,67.8647842407227,0.747394502162933,1.99314534664154,0,0,0,90,0,-11.8815612792969,0,0,0,0
"8788",2009-01-02 03:00:00,2,180,7.98516941070557,8.04582023620605,74.1962051391602,73.8905334472656,0.358809381723404,0.956869721412659,0,0,0,90,0,-11.6463928222656,0,0,0,0
"8789",2009-01-02 04:00:00,2,240,7.60428428649902,7.68804740905762,77.5136337280273,77.071647644043,0.293090879917145,0.781612277030945,0,0,0,90,0.00266375066712499,-11.9882507324219,0,0,0,0
"8790",2009-01-02 05:00:00,2,300,8.02080631256104,7.6217041015625,75.0027008056641,77.071647644043,0.415134161710739,1.10707628726959,0,0,0,88.4935073852539,16.1074352264404,-12.0899047851562,0,0,0,0
