"","dates","JULDAY","TIME","D0cm","D1cm","D3cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"8761",2009-01-01 00:00:00,1,0,13.4502258300781,16.6406402587891,18.9983291625977,20.518741607666,22.3549575805664,23.2093677520752,22.3001079559326,20.8418083190918,19.1043453216553,16.5247592926025
"8762",2009-01-01 01:00:00,1,60,13.3039493560791,16.3861198425293,18.5906887054443,20.073278427124,21.9214878082275,22.8661632537842,22.2961101531982,20.8426284790039,19.1065807342529,16.5247592926025
"8763",2009-01-01 02:00:00,1,120,12.941520690918,16.3627376556396,18.2287464141846,19.7070350646973,21.5346565246582,22.5378799438477,22.2781581878662,20.8432903289795,19.1088047027588,16.5247592926025
"8764",2009-01-01 03:00:00,1,180,12.7638463973999,16.3770694732666,17.8988437652588,19.4013156890869,21.1892547607422,22.2288761138916,22.2479610443115,20.843599319458,19.1110153198242,16.5247592926025
"8765",2009-01-01 04:00:00,1,240,12.8085784912109,16.2932147979736,17.6512088775635,19.1358642578125,20.8797187805176,21.9408226013184,22.2072334289551,20.8434009552002,19.113208770752,16.5247592926025
"8766",2009-01-01 05:00:00,1,300,13.1280174255371,16.2739315032959,17.5144443511963,18.9073276519775,20.6029987335205,21.6738529205322,22.1575870513916,20.8425636291504,19.115385055542,16.5247592926025
"8767",2009-01-01 06:00:00,1,360,17.7067108154297,17.4706554412842,18.0582656860352,18.8474559783936,20.3765106201172,21.4289436340332,22.1005153656006,20.8409824371338,19.1175403594971,16.5247592926025
"8768",2009-01-01 07:00:00,1,420,23.0643215179443,20.4811210632324,19.4732055664062,19.3972663879395,20.3152370452881,21.222785949707,22.0376892089844,20.8385791778564,19.1196689605713,16.5247592926025
"8769",2009-01-01 08:00:00,1,480,28.6933097839355,24.0712909698486,21.5514755249023,20.5251045227051,20.5236511230469,21.0965709686279,21.9719085693359,20.8353099822998,19.1217670440674,16.5247592926025
"8770",2009-01-01 09:00:00,1,540,33.8893394470215,27.633150100708,23.9310855865479,22.0449180603027,21.0115718841553,21.0911483764648,21.9075603485107,20.8311862945557,19.1238327026367,16.5247592926025
"8771",2009-01-01 10:00:00,1,600,37.8839111328125,30.6868934631348,26.280345916748,23.7399444580078,21.7285385131836,21.2292499542236,21.8500843048096,20.8262939453125,19.1258602142334,16.5247592926025
"8772",2009-01-01 11:00:00,1,660,40.2166938781738,32.9824905395508,28.2802581787109,25.3786067962646,22.58616065979,21.5103225708008,21.8050479888916,20.8207931518555,19.1278514862061,16.5247592926025
"8773",2009-01-01 12:00:00,1,720,40.859447479248,34.0042533874512,29.6985607147217,26.7449760437012,23.4772987365723,21.9107055664062,21.7771987915039,20.8149185180664,19.1297969818115,16.5247592926025
"8774",2009-01-01 13:00:00,1,780,40.779167175293,34.7298927307129,30.580940246582,27.7476177215576,24.2943458557129,22.3873538970947,21.7696304321289,20.8089618682861,19.1317005157471,16.5247592926025
"8775",2009-01-01 14:00:00,1,840,39.5989875793457,34.7139358520508,31.0694751739502,28.462121963501,25.0023078918457,22.8934535980225,21.7833213806152,20.8032341003418,19.1335620880127,16.5247592926025
"8776",2009-01-01 15:00:00,1,900,37.1762237548828,33.6376991271973,30.9792919158936,28.7972831726074,25.5655326843262,23.3902740478516,21.8174266815186,20.7980308532715,19.1353855133057,16.5247592926025
"8777",2009-01-01 16:00:00,1,960,32.5919647216797,31.6762351989746,30.1485137939453,28.6691379547119,25.9254703521729,23.8387966156006,21.8695259094238,20.7936248779297,19.137170791626,16.5247592926025
"8778",2009-01-01 17:00:00,1,1020,27.5069808959961,28.7391567230225,28.6787738800049,28.0296821594238,26.0303401947021,24.1982879638672,21.9355907440186,20.7902336120605,19.1389236450195,16.5247592926025
"8779",2009-01-01 18:00:00,1,1080,21.9439468383789,25.3050804138184,26.6962604522705,26.9456481933594,25.8618011474609,24.432544708252,22.0101127624512,20.7879962921143,19.1406517028809,16.5247592926025
"8780",2009-01-01 19:00:00,1,1140,16.7210941314697,21.9479713439941,24.4342727661133,25.5392761230469,25.4388561248779,24.5182838439941,22.0865821838379,20.786958694458,19.1423587799072,16.5247592926025
"8781",2009-01-01 20:00:00,1,1200,14.332275390625,19.2866077423096,22.4070320129395,24.0321712493896,24.8236865997314,24.4504108428955,22.1582469940186,20.787073135376,19.14404296875,16.5247592926025
"8782",2009-01-01 21:00:00,1,1260,12.6354169845581,17.539665222168,20.8167572021484,22.7020225524902,24.1267051696777,24.2477474212646,22.2191181182861,20.7881870269775,19.1457214355469,16.5247592926025
"8783",2009-01-01 22:00:00,1,1320,11.4252471923828,16.2247333526611,19.5532760620117,21.578311920166,23.4306545257568,23.947566986084,22.2649154663086,20.7900867462158,19.1473999023438,16.5247592926025
"8784",2009-01-01 23:00:00,1,1380,10.5273838043213,15.1994800567627,18.5231781005859,20.6238441467285,22.7663822174072,23.5866737365723,22.2933444976807,20.7925052642822,19.1490783691406,16.5247592926025
