"","dates","JULDAY","TIME","D0cm","D1cm","D3cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"8761",2009-01-01 00:00:00,1,0,12.242208480835,17.6652431488037,21.0052433013916,23.5000972747803,26.2429046630859,27.5130290985107,26.1199817657471,23.6869850158691,20.9771595001221,16.5247592926025
"8762",2009-01-01 01:00:00,1,60,12.696629524231,17.1132850646973,20.4638919830322,22.8370323181152,25.5939178466797,26.9881134033203,26.109016418457,23.6908683776855,20.9796619415283,16.5247592926025
"8763",2009-01-01 02:00:00,1,120,12.6487255096436,16.7982635498047,19.9922180175781,22.2792587280273,25.0149917602539,26.4901638031006,26.0765113830566,23.6943416595459,20.9821796417236,16.5247592926025
"8764",2009-01-01 03:00:00,1,180,12.5143709182739,16.5024585723877,19.5767669677734,21.794584274292,24.4953632354736,26.0236167907715,26.0253810882568,23.6971035003662,20.9846839904785,16.5247592926025
"8765",2009-01-01 04:00:00,1,240,12.4869060516357,16.270414352417,19.2050285339355,21.3600025177002,24.0237693786621,25.5889701843262,25.9583911895752,23.6989116668701,20.9871864318848,16.5247592926025
"8766",2009-01-01 05:00:00,1,300,13.4141254425049,16.2135181427002,19.0293464660645,20.9936847686768,23.5973300933838,25.1848449707031,25.878044128418,23.6995677947998,20.9896774291992,16.5247592926025
"8767",2009-01-01 06:00:00,1,360,20.0197143554688,19.213451385498,19.790864944458,20.9793663024902,23.2523746490479,24.8134708404541,25.7866153717041,23.6989212036133,20.992151260376,16.5247592926025
"8768",2009-01-01 07:00:00,1,420,29.0013637542725,24.2816543579102,22.3324604034424,21.9544162750244,23.1916561126709,24.5051155090332,25.6867599487305,23.6968612670898,20.9945964813232,16.5247592926025
"8769",2009-01-01 08:00:00,1,480,38.228946685791,30.0814819335938,25.8935871124268,23.8618755340576,23.5797748565674,24.3304309844971,25.5831546783447,23.6933250427246,20.9970111846924,16.5247592926025
"8770",2009-01-01 09:00:00,1,540,45.8588066101074,35.7682456970215,29.7532997131348,26.3578243255615,24.4210472106934,24.3568649291992,25.4831733703613,23.6883563995361,20.9993877410889,16.5247592926025
"8771",2009-01-01 10:00:00,1,600,51.5940933227539,40.3868179321289,33.4339714050293,29.056489944458,25.6186962127686,24.6193943023682,25.395902633667,23.6821193695068,21.0017204284668,16.5247592926025
"8772",2009-01-01 11:00:00,1,660,54.9603614807129,43.5525283813477,36.4486885070801,31.5755462646484,27.0160007476807,25.1126461029053,25.3305263519287,23.6749134063721,21.003999710083,16.5247592926025
"8773",2009-01-01 12:00:00,1,720,54.7244071960449,44.9948768615723,38.3768463134766,33.5998725891113,28.4286994934082,25.7914924621582,25.29469871521,23.6671543121338,21.0062255859375,16.5247592926025
"8774",2009-01-01 13:00:00,1,780,54.5246696472168,45.6754722595215,39.5138092041016,34.9991722106934,29.6834983825684,26.5784549713135,25.293098449707,23.6593475341797,21.0083980560303,16.5247592926025
"8775",2009-01-01 14:00:00,1,840,52.9186248779297,45.2567558288574,40.0622100830078,35.9421501159668,30.7360439300537,27.3927345275879,25.3266716003418,23.6520252227783,21.0105152130127,16.5247592926025
"8776",2009-01-01 15:00:00,1,900,48.2320747375488,43.6415710449219,39.6614532470703,36.3198471069336,31.54176902771,28.1712131500244,25.3932361602783,23.6456890106201,21.0125827789307,16.5247592926025
"8777",2009-01-01 16:00:00,1,960,41.5740509033203,40.3123397827148,38.2410469055176,35.9963874816895,32.0200080871582,28.8530139923096,25.488000869751,23.6407814025879,21.0146083831787,16.5247592926025
"8778",2009-01-01 17:00:00,1,1020,33.737663269043,35.6662483215332,35.8362312316895,34.9222297668457,32.0988502502441,29.3766117095947,25.6035900115967,23.637638092041,21.0165977478027,16.5247592926025
"8779",2009-01-01 18:00:00,1,1080,25.1114158630371,30.2665939331055,32.6709251403809,33.1991424560547,31.7617778778076,29.6902847290039,25.7303218841553,23.6364612579346,21.0185604095459,16.5247592926025
"8780",2009-01-01 19:00:00,1,1140,17.2817401885986,24.9480819702148,29.1257610321045,31.0070915222168,31.0471611022949,29.7652053833008,25.8571529388428,23.6372852325439,21.0205135345459,16.5247592926025
"8781",2009-01-01 20:00:00,1,1200,13.2663717269897,21.4472370147705,25.9862041473389,28.7164306640625,30.0577125549316,29.6020183563232,25.9730701446533,23.6399726867676,21.0224514007568,16.5247592926025
"8782",2009-01-01 21:00:00,1,1260,12.0379972457886,19.0002670288086,23.8072738647461,26.7798881530762,28.9834251403809,29.240327835083,26.0687694549561,23.6442394256592,21.0244026184082,16.5247592926025
"8783",2009-01-01 22:00:00,1,1320,10.7807817459106,17.3384437561035,22.1242237091064,25.214485168457,27.9516067504883,28.747838973999,26.1383037567139,23.6496849060059,21.0263576507568,16.5247592926025
"8784",2009-01-01 23:00:00,1,1380,9.6591215133667,16.1273403167725,20.7693328857422,23.9203262329102,26.9951286315918,28.184720993042,26.1792430877686,23.6558513641357,21.0283317565918,16.5247592926025
"8785",2009-01-02 00:00:00,2,0,8.96187496185303,15.1193170547485,19.6692943572998,22.8252182006836,26.1155204772949,27.5922374725342,26.1916694641113,23.6622791290283,21.0303153991699,16.4970874786377
"8786",2009-01-02 01:00:00,2,60,8.46374702453613,14.4132204055786,18.7549610137939,21.8902549743652,25.3081035614014,26.9961738586426,26.1771259307861,23.6685352325439,21.0322494506836,16.4970874786377
"8787",2009-01-02 02:00:00,2,120,7.58869409561157,14.0419416427612,17.9568023681641,21.0982933044434,24.5703983306885,26.4125595092773,26.1379337310791,23.6742267608643,21.0342025756836,16.4970874786377
"8788",2009-01-02 03:00:00,2,180,7.88362216949463,13.2562255859375,17.3739833831787,20.392276763916,23.897611618042,25.8511734008789,26.0767593383789,23.6790103912354,21.0361595153809,16.4970874786377
"8789",2009-01-02 04:00:00,2,240,7.4661021232605,12.7373743057251,16.7769737243652,19.7606964111328,23.2784156799316,25.3166198730469,25.9963436126709,23.6826000213623,21.0381278991699,16.4970874786377
