"","HR","Mass","ID"
"1",0.0342404020685807,59.25,"oha"
"2",0.0283676020816242,64.25,"oha"
"3",0.0391218398655569,64.25,"oha"
"4",0.0267651285746546,64.25,"oha"
"5",0.042448561422459,64.25,"oha"
"6",0.0403792550185236,64.25,"oha"
"7",0.0545984517090464,64.25,"oha"
"8",0.0202487813213566,64.25,"oha"
"9",0.0329245286056512,65.25,"oha"
"10",0.0625493163597957,65.25,"oha"
"11",0.0402758097517116,65.25,"oha"
"12",0.0324610553432397,65.25,"oha"
"13",0.0176437468517663,65.25,"oha"
"14",0.0477143012465884,65.25,"oha"
"15",0.0358689299276255,65.25,"oha"
"16",0.0566591382358699,65.25,"oha"
"17",0.0408909923773687,65.25,"oha"
"18",0.0449517221322177,65.25,"oha"
"19",0.0403157192859137,65.25,"oha"
"20",0.0262017789362204,65.25,"oha"
"21",0.042781120774969,65.25,"oha"
"22",0.0382513242335709,65.25,"oha"
"23",0.0583531605328004,65.25,"oha"
"24",0.0547960526795655,65.25,"oha"
"25",0.0343462144597379,65.25,"oha"
"26",0.0524707395520866,65.25,"oha"
"27",0.0319033658304934,65.25,"oha"
"28",0.0659245193438372,65.25,"oha"
"29",0.0308637611951309,65.25,"oha"
"30",0.040832456358082,65.25,"oha"
"31",0.0301599124189444,65.25,"oha"
"32",0.043087123405768,65.25,"oha"
"33",0.028858786176215,65.25,"oha"
"34",0.0289136326668779,65.25,"oha"
"35",0.0349268097141465,65.25,"oha"
"36",0.0365919600970899,65.25,"oha"
"37",0.0267244129059393,65.25,"oha"
"38",0.0339318147688967,65.25,"oha"
"39",0.0361191558522432,65.25,"oha"
"40",0.0365027430042813,65.25,"oha"
"41",0.028883005284855,65.25,"oha"
"42",0.040274832041581,65.25,"oha"
"43",0.0512477487259415,65.25,"oha"
"44",0.0327682772951022,65.25,"oha"
"45",0.0386064287847289,65.25,"oha"
"46",0.0353521445824215,65.25,"oha"
"47",0.0435022553570902,65.25,"oha"
"48",0.0394848884058751,65.25,"oha"
"49",0.0233188988411471,65.25,"oha"
"50",0.0352530525717873,65.25,"oha"
"51",0.0170986549864556,65.25,"oha"
"52",0.0339041743841345,65.25,"oha"
"53",0.0473695922043586,65.25,"oha"
"54",0.0337586419450424,65.25,"oha"
"55",0.0415897265315674,65.25,"oha"
"56",0.0343572559946238,65.25,"oha"
"57",0.0286996293012065,65.25,"oha"
"58",0.0395512239828224,65.25,"oha"
"59",0.0366063265039163,65.25,"oha"
"60",0.0516891435401426,65.25,"oha"
"61",0.0328409289477906,65.25,"oha"
"62",0.0468518974105676,65.25,"oha"
"63",0.029801777742313,65.25,"oha"
"64",0.0182986367031344,65.25,"oha"
"65",0.02333109548105,65.25,"oha"
"66",0.0404746079815728,65.25,"oha"
"67",0.0279304371907518,65.25,"oha"
"68",0.0260943147008917,65.25,"oha"
"69",0.0393143534016546,65.25,"oha"
"70",0.0467959535306434,65.25,"oha"
"71",0.0342305680850059,65.25,"oha"
"72",0.0235811988289363,65.25,"oha"
"73",0.0440164341034984,65.25,"oha"
"74",0.0284979055574359,65.25,"oha"
"75",0.0484083664561906,65.25,"oha"
"76",0.035338928161939,65.25,"oha"
"77",0.039374006898564,65.25,"oha"
"78",0.0379843418821174,65.25,"oha"
"79",0.0292244889449755,65.25,"oha"
"80",0.0337114204850268,65.25,"oha"
"81",0.0237679020773156,65.25,"oha"
"82",0.0265969210627902,65.25,"oha"
"83",0.0313761502028235,65.25,"oha"
"84",0.0365730691485904,65.25,"oha"
"85",0.0377808599999636,65.25,"oha"
"86",0.0388309869025765,65.25,"oha"
"87",0.0293683520822217,65.25,"oha"
"88",0.026498495676876,65.25,"oha"
"89",0.0210264864310642,65.25,"oha"
"90",0.0200397621551979,65.25,"oha"
"91",0.0311527173797924,65.25,"oha"
"92",0.0259838156000423,65.25,"oha"
"93",0.0334520091998604,65.25,"oha"
"94",0.0437795111888188,65.25,"oha"
"95",0.029154033483896,66.25,"oha"
"96",0.0415175138224718,66.25,"oha"
"97",0.0251537409316999,66.25,"oha"
"98",0.0566091668492784,66.25,"oha"
"99",0.0297308320435602,66.25,"oha"
"100",0.055079256349249,66.25,"oha"
"101",0.023620967642538,55.15,"ohj"
"102",0.0439274728435239,55.15,"ohj"
"103",0.0542296777908294,56.15,"ohj"
"104",0.0413985143238562,56.15,"ohj"
"105",0.0271305059516165,56.15,"ohj"
"106",0.0283319997535421,56.15,"ohj"
"107",0.0383696446916869,56.15,"ohj"
"108",0.0280273958163819,57.15,"ohj"
"109",0.0279015420308267,57.15,"ohj"
"110",0.0396239587704229,57.15,"ohj"
"111",0.0291405837506447,57.15,"ohj"
"112",0.0270570779851575,57.15,"ohj"
"113",0.0489324884538038,57.15,"ohj"
"114",0.0206621866494988,57.15,"ohj"
"115",0.050559733239596,57.15,"ohj"
"116",0.0264421909210206,57.15,"ohj"
"117",0.030644355984273,57.15,"ohj"
"118",0.0518810425315857,57.15,"ohj"
"119",0.0307819439728779,57.15,"ohj"
"120",0.0407659125586114,57.15,"ohj"
"121",0.0231971937654893,57.15,"ohj"
"122",0.021598754266333,57.15,"ohj"
"123",0.0410275446272347,57.15,"ohj"
"124",0.0267019461189165,57.15,"ohj"
"125",0.0409819827233039,57.15,"ohj"
"126",0.0546689582525355,57.15,"ohj"
"127",0.0278680085498534,57.15,"ohj"
"128",0.0307349826814989,57.15,"ohj"
"129",0.0355861397059847,57.15,"ohj"
"130",0.024498192824574,57.15,"ohj"
"131",0.033997800149139,57.15,"ohj"
"132",0.0258172392444888,57.15,"ohj"
"133",0.0438629933745466,57.15,"ohj"
"134",0.0310166705036716,57.15,"ohj"
"135",0.0675807980730697,57.15,"ohj"
"136",0.0540707324613742,57.15,"ohj"
"137",0.0328232104100123,57.15,"ohj"
"138",0.0349479930914119,57.15,"ohj"
"139",0.0515978898047717,57.15,"ohj"
"140",0.0249840086437018,57.15,"ohj"
"141",0.045505496633658,57.15,"ohj"
"142",0.0425556071020351,57.15,"ohj"
"143",0.0488664127330439,57.15,"ohj"
"144",0.0245194889523118,57.15,"ohj"
"145",0.0338136869350952,57.15,"ohj"
"146",0.0247439967020043,57.15,"ohj"
"147",0.05775833367495,57.15,"ohj"
"148",0.0261765631593093,57.15,"ohj"
"149",0.0386491669101848,57.15,"ohj"
"150",0.0487247791745766,57.15,"ohj"
"151",0.033349244880258,57.15,"ohj"
"152",0.0424398723383418,57.15,"ohj"
"153",0.01914809604481,57.15,"ohj"
"154",0.0288067074064044,57.15,"ohj"
"155",0.0222492500818795,57.15,"ohj"
"156",0.028305548041784,57.15,"ohj"
