"","HR"
"1",0.0342404020685807
"2",0.0283676020816242
"3",0.0391218398655569
"4",0.0267651285746546
"5",0.042448561422459
"6",0.0403792550185236
"7",0.0545984517090464
"8",0.0202487813213566
"9",0.0329245286056512
"10",0.0625493163597957
"11",0.0402758097517116
"12",0.0324610553432397
"13",0.0176437468517663
"14",0.0477143012465884
"15",0.0358689299276255
"16",0.0566591382358699
"17",0.0408909923773687
"18",0.0449517221322177
"19",0.0403157192859137
"20",0.0262017789362204
"21",0.042781120774969
"22",0.0382513242335709
"23",0.0583531605328004
"24",0.0547960526795655
"25",0.0343462144597379
"26",0.0524707395520866
"27",0.0319033658304934
"28",0.0659245193438372
"29",0.0308637611951309
"30",0.040832456358082
"31",0.0301599124189444
"32",0.043087123405768
"33",0.028858786176215
"34",0.0289136326668779
"35",0.0349268097141465
"36",0.0365919600970899
"37",0.0267244129059393
"38",0.0339318147688967
"39",0.0361191558522432
"40",0.0365027430042813
"41",0.028883005284855
"42",0.040274832041581
"43",0.0512477487259415
"44",0.0327682772951022
"45",0.0386064287847289
"46",0.0353521445824215
"47",0.0435022553570902
"48",0.0394848884058751
"49",0.0233188988411471
"50",0.0352530525717873
"51",0.0170986549864556
"52",0.0339041743841345
"53",0.0473695922043586
"54",0.0337586419450424
"55",0.0415897265315674
"56",0.0343572559946238
"57",0.0286996293012065
"58",0.0395512239828224
"59",0.0366063265039163
"60",0.0516891435401426
"61",0.0328409289477906
"62",0.0468518974105676
"63",0.029801777742313
"64",0.0182986367031344
"65",0.02333109548105
"66",0.0404746079815728
"67",0.0279304371907518
"68",0.0260943147008917
"69",0.0393143534016546
"70",0.0467959535306434
"71",0.0342305680850059
"72",0.0235811988289363
"73",0.0440164341034984
"74",0.0284979055574359
"75",0.0484083664561906
"76",0.035338928161939
"77",0.039374006898564
"78",0.0379843418821174
"79",0.0292244889449755
"80",0.0337114204850268
"81",0.0237679020773156
"82",0.0265969210627902
"83",0.0313761502028235
"84",0.0365730691485904
"85",0.0377808599999636
"86",0.0388309869025765
"87",0.0293683520822217
"88",0.026498495676876
"89",0.0210264864310642
"90",0.0200397621551979
"91",0.0311527173797924
"92",0.0259838156000423
"93",0.0334520091998604
"94",0.0437795111888188
"95",0.029154033483896
"96",0.0415175138224718
"97",0.0251537409316999
"98",0.0566091668492784
"99",0.0297308320435602
"100",0.055079256349249
